Time,Flow_sensor_1,Flow_sensor_2,Flow_sensor_3,Pump_2,Pump_4,Pump_5,Pump_6,Tank_1,Tank_4,Tank_5,Tank_6,Tank_7,Tank_8,Valv_20,Valv_22
18:45:01,0,0,0,True,False,False,False,15,0,0,0,0,156,False,True
18:45:02,0,0,0,True,False,False,False,80,0,0,0,0,150,False,True
18:45:03,0,0,0,True,False,False,False,115,0,0,0,0,145,False,True
18:45:04,0,0,0,True,False,False,False,173,0,0,0,0,139,False,True
18:45:05,0,0,0,True,False,False,False,216,0,0,0,0,134,False,True
18:45:06,0,0,0,True,False,False,False,264,0,0,0,0,129,False,True
18:45:07,0,0,0,True,False,False,False,296,0,0,0,0,129,False,True
18:45:08,0,0,0,True,False,False,False,325,0,0,0,0,119,False,True
18:45:09,0,0,0,True,False,False,False,353,0,0,0,0,114,False,True
18:45:10,0,0,0,True,False,False,False,394,0,0,0,0,114,False,True
18:45:11,0,0,0,True,False,False,False,428,0,0,0,0,105,False,True
18:45:12,0,0,0,True,False,False,False,442,0,0,0,0,105,False,True
18:45:13,0,0,0,True,False,False,False,492,0,0,0,0,100,False,True
18:45:14,0,0,0,True,False,False,False,509,0,0,0,0,96,False,True
18:45:15,0,0,0,True,False,False,False,538,0,0,0,0,91,False,True
18:45:16,0,0,0,True,False,False,False,566,0,0,0,0,87,False,True
18:45:17,0,0,0,True,False,False,False,609,0,0,0,0,83,False,True
18:45:18,0,0,0,True,False,False,False,626,0,0,0,0,83,False,True
18:45:19,0,0,0,True,False,False,False,655,0,0,0,0,75,False,True
18:45:20,0,0,0,True,False,False,False,673,0,0,0,0,75,False,True
18:45:21,0,0,0,True,False,False,False,714,0,0,0,0,71,False,True
18:45:22,0,0,0,True,False,False,False,746,0,0,0,0,67,False,True
18:45:23,0,0,0,True,False,False,False,768,0,0,0,0,64,False,True
18:45:24,0,0,0,True,False,False,False,795,0,0,0,0,60,False,True
18:45:25,0,0,0,True,False,False,False,831,0,0,0,0,56,False,True
18:45:26,0,0,0,True,False,False,False,860,0,0,0,0,56,False,True
18:45:27,0,0,0,True,False,False,False,881,0,0,0,0,50,False,True
18:45:28,0,0,0,True,False,False,False,913,0,0,0,0,50,False,True
18:45:29,0,0,0,True,False,False,False,932,0,0,0,0,47,False,True
18:45:30,0,0,0,True,False,False,False,976,0,0,0,0,44,False,True
18:45:31,0,0,0,True,False,False,False,1000,0,0,0,0,41,False,True
18:45:32,0,0,0,True,False,False,False,1031,0,0,0,0,38,False,True
18:45:33,0,0,0,True,False,False,False,1054,0,0,0,0,35,False,True
18:45:34,0,0,0,True,False,False,False,1076,0,0,0,0,35,False,True
18:45:35,0,0,0,True,False,False,False,1105,0,0,0,0,32,False,True
18:45:36,0,0,0,True,False,False,False,1131,0,0,0,0,27,False,True
18:45:37,0,0,0,True,False,False,False,1170,0,0,0,0,27,False,True
18:45:38,0,0,0,True,False,False,False,1189,0,0,0,0,25,False,True
18:45:39,0,0,0,True,False,False,False,1219,0,0,0,0,23,False,True
18:45:40,0,0,0,True,False,False,False,1250,0,0,0,0,21,False,True
18:45:41,0,0,0,True,False,False,False,1270,0,0,0,0,19,False,True
18:45:42,0,0,0,True,False,False,False,1305,0,0,0,0,19,False,True
18:45:43,0,0,0,True,False,False,False,1320,0,0,0,0,17,False,True
18:45:44,0,0,0,True,False,False,False,1364,0,0,0,0,13,False,True
18:45:45,0,0,0,True,False,False,False,1392,0,0,0,0,13,False,True
18:45:46,0,0,0,True,False,False,False,1428,0,0,0,0,11,False,True
18:45:47,0,0,0,True,False,False,False,1444,0,0,0,0,10,False,True
18:45:48,0,0,0,True,False,False,False,1484,0,0,0,0,8,False,True
18:45:49,0,0,0,True,False,False,False,1507,0,0,0,0,7,False,True
18:45:50,0,0,0,True,False,False,False,1545,0,0,0,0,7,False,True
18:45:51,0,0,0,True,False,False,False,1568,0,0,0,0,5,False,True
18:45:52,0,0,0,True,False,False,False,1596,0,0,0,0,4,False,True
18:45:53,0,0,0,True,False,False,False,1624,0,0,0,0,4,False,True
18:45:54,0,0,0,True,False,False,False,1652,0,0,0,0,3,False,True
18:45:55,0,0,0,True,False,False,False,1696,0,0,0,0,2,False,True
18:45:56,0,0,0,True,False,False,False,1706,0,0,0,0,2,False,True
18:45:57,0,0,0,True,False,False,False,1744,0,0,0,0,1,False,True
18:45:58,0,0,0,True,False,False,False,1777,0,0,0,0,0,False,True
18:45:59,0,0,0,True,False,False,False,1803,0,0,0,0,0,False,True
18:46:00,0,0,0,True,False,False,False,1831,0,0,0,0,0,False,True
18:46:01,0,0,0,True,False,False,False,1851,0,0,0,0,0,False,True
18:46:02,0,0,0,True,False,False,False,1884,0,0,0,0,0,False,False
18:46:03,0,0,0,True,False,False,False,1910,0,0,0,0,0,False,False
18:46:04,0,0,0,True,False,False,False,1945,0,0,0,0,0,False,False
18:46:05,0,0,0,True,False,False,False,1974,0,0,0,0,0,False,False
18:46:06,0,0,0,False,True,False,False,1994,0,0,0,0,0,False,False
18:46:07,0,0,0,False,True,False,False,1989,0,3,0,0,0,False,False
18:46:08,0,0,0,False,True,False,False,1972,0,17,0,0,0,False,False
18:46:09,0,0,0,False,True,False,False,1958,0,51,0,0,0,False,False
18:46:10,0,0,0,False,True,False,False,1944,0,70,0,0,0,False,False
18:46:11,0,0,0,False,True,False,False,1927,0,87,0,0,0,False,False
18:46:12,0,0,0,False,True,False,False,1913,0,97,0,0,0,False,False
18:46:13,0,0,0,False,True,False,False,1896,0,123,0,0,0,False,False
18:46:14,0,0,0,False,True,False,False,1884,0,141,0,0,0,False,False
18:46:15,0,0,0,False,True,False,False,1865,0,155,0,0,0,False,False
18:46:16,0,0,0,False,True,False,False,1853,0,173,0,0,0,False,False
18:46:17,0,0,0,False,True,False,False,1835,0,198,0,0,0,False,False
18:46:18,0,0,0,False,True,False,False,1822,0,207,0,0,0,False,False
18:46:19,0,0,0,False,True,False,False,1805,0,210,0,0,0,False,False
18:46:20,0,0,0,False,True,False,False,1792,0,230,0,0,0,False,False
18:46:21,0,0,0,False,True,False,False,1776,0,249,0,0,0,False,False
18:46:22,0,0,0,False,True,False,False,1759,0,274,0,0,0,False,False
18:46:23,0,0,0,False,True,False,False,1747,0,277,0,0,0,False,False
18:46:24,0,0,0,False,True,False,False,1729,0,282,0,0,0,False,False
18:46:25,0,0,0,False,True,False,False,1717,0,286,0,0,0,False,False
