Tank_1-0-12%_to_12-25%,Tank_1-12-25%_to_0-12%,Tank_1-12-25%_to_25-37%,Tank_1-25-37%_to_12-25%,Tank_1-25-37%_to_37-50%,Tank_1-37-50%_to_25-37%,Tank_1-37-50%_to_50-62%,Tank_1-50-62%_to_37-50%,Tank_1-50-62%_to_62-75%,Tank_1-62-75%_to_50-62%,Tank_1-62-75%_to_75-87%,Tank_1-75-87%_to_62-75%,Tank_1-75-87%_to_87-100%,Tank_1-87-100%_to_75-87%,Tank_1-87-100%_to_OVERFLOW,Tank_1-OVERFLOW_to_87-100%,Tank_4-0-12%_to_12-25%,Tank_4-12-25%_to_0-12%,Tank_4-12-25%_to_25-37%,Tank_4-25-37%_to_12-25%,Tank_4-25-37%_to_37-50%,Tank_4-37-50%_to_25-37%,Tank_4-37-50%_to_50-62%,Tank_4-50-62%_to_37-50%,Tank_4-50-62%_to_62-75%,Tank_4-62-75%_to_50-62%,Tank_4-62-75%_to_75-87%,Tank_4-75-87%_to_62-75%,Tank_4-75-87%_to_87-100%,Tank_4-87-100%_to_75-87%,Tank_4-87-100%_to_OVERFLOW,Tank_4-OVERFLOW_to_87-100%,Tank_5-0-12%_to_12-25%,Tank_5-12-25%_to_0-12%,Tank_5-12-25%_to_25-37%,Tank_5-25-37%_to_12-25%,Tank_5-25-37%_to_37-50%,Tank_5-37-50%_to_25-37%,Tank_5-37-50%_to_50-62%,Tank_5-50-62%_to_37-50%,Tank_5-50-62%_to_62-75%,Tank_5-62-75%_to_50-62%,Tank_5-62-75%_to_75-87%,Tank_5-75-87%_to_62-75%,Tank_5-75-87%_to_87-100%,Tank_5-87-100%_to_75-87%,Tank_5-87-100%_to_OVERFLOW,Tank_5-OVERFLOW_to_87-100%,Tank_6-0-12%_to_12-25%,Tank_6-12-25%_to_0-12%,Tank_6-12-25%_to_25-37%,Tank_6-25-37%_to_12-25%,Tank_6-25-37%_to_37-50%,Tank_6-37-50%_to_25-37%,Tank_6-37-50%_to_50-62%,Tank_6-50-62%_to_37-50%,Tank_6-50-62%_to_62-75%,Tank_6-62-75%_to_50-62%,Tank_6-62-75%_to_75-87%,Tank_6-75-87%_to_62-75%,Tank_6-75-87%_to_87-100%,Tank_6-87-100%_to_75-87%,Tank_6-87-100%_to_OVERFLOW,Tank_6-OVERFLOW_to_87-100%,Tank_7-0-12%_to_12-25%,Tank_7-12-25%_to_0-12%,Tank_7-12-25%_to_25-37%,Tank_7-25-37%_to_12-25%,Tank_7-25-37%_to_37-50%,Tank_7-37-50%_to_25-37%,Tank_7-37-50%_to_50-62%,Tank_7-50-62%_to_37-50%,Tank_7-50-62%_to_62-75%,Tank_7-62-75%_to_50-62%,Tank_7-62-75%_to_75-87%,Tank_7-75-87%_to_62-75%,Tank_7-75-87%_to_87-100%,Tank_7-87-100%_to_75-87%,Tank_7-87-100%_to_OVERFLOW,Tank_7-OVERFLOW_to_87-100%,Tank_8-0-12%_to_12-25%,Tank_8-12-25%_to_0-12%,Tank_8-12-25%_to_25-37%,Tank_8-25-37%_to_12-25%,Tank_8-25-37%_to_37-50%,Tank_8-37-50%_to_25-37%,Tank_8-37-50%_to_50-62%,Tank_8-50-62%_to_37-50%,Tank_8-50-62%_to_62-75%,Tank_8-62-75%_to_50-62%,Tank_8-62-75%_to_75-87%,Tank_8-75-87%_to_62-75%,Tank_8-75-87%_to_87-100%,Tank_8-87-100%_to_75-87%,Tank_8-87-100%_to_OVERFLOW,Tank_8-OVERFLOW_to_87-100%,Fitness,Label
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8837209302325582,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9302325581395349,A
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.8651685393258427,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9415204678362573,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9415204678362573,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9302325581395349,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.9010989010989011,A
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8837209302325582,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9302325581395349,A
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.8651685393258427,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.9010989010989011,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9415204678362573,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.9010989010989011,A
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.8651685393258427,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9415204678362573,A
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.8651685393258427,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.9010989010989011,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0.8666666666666667,A
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.8651685393258427,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9415204678362573,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.9010989010989011,A
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8837209302325582,A
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8837209302325582,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9415204678362573,A
