Tank_1-0-50%_to_50-100%,Tank_1-50-100%_to_0-50%,Tank_1-50-100%_to_OVERFLOW,Tank_1-OVERFLOW_to_50-100%,Tank_4-0-50%_to_50-100%,Tank_4-50-100%_to_0-50%,Tank_4-50-100%_to_OVERFLOW,Tank_4-OVERFLOW_to_50-100%,Tank_5-0-50%_to_50-100%,Tank_5-50-100%_to_0-50%,Tank_5-50-100%_to_OVERFLOW,Tank_5-OVERFLOW_to_50-100%,Tank_6-0-50%_to_50-100%,Tank_6-50-100%_to_0-50%,Tank_6-50-100%_to_OVERFLOW,Tank_6-OVERFLOW_to_50-100%,Tank_7-0-50%_to_50-100%,Tank_7-50-100%_to_0-50%,Tank_7-50-100%_to_OVERFLOW,Tank_7-OVERFLOW_to_50-100%,Tank_8-0-50%_to_50-100%,Tank_8-50-100%_to_0-50%,Tank_8-50-100%_to_OVERFLOW,Tank_8-OVERFLOW_to_50-100%,Fitness,Label
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,3,3,0.2857142857142857,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,1,2,2,1,2,1,1,0,0,0,0,1,0,3,3,0,2,0,0,2,0,1,1,0.303030303030303,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0.5555555555555556,A
0,2,2,2,0,0,3,3,1,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0.33333333333333337,A
0,1,4,4,1,2,0,0,1,1,1,1,1,0,4,4,0,0,0,0,0,2,1,1,0.2564102564102564,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
2,1,2,2,1,0,2,2,0,0,2,2,1,2,0,0,0,2,1,1,0,2,0,0,0.24242424242424243,A
