Tank_1-0-33%_to_33-66%,Tank_1-33-66%_to_0-33%,Tank_1-33-66%_to_66-100%,Tank_1-66-100%_to_33-66%,Tank_1-66-100%_to_OVERFLOW,Tank_1-OVERFLOW_to_66-100%,Tank_4-0-33%_to_33-66%,Tank_4-33-66%_to_0-33%,Tank_4-33-66%_to_66-100%,Tank_4-66-100%_to_33-66%,Tank_4-66-100%_to_OVERFLOW,Tank_4-OVERFLOW_to_66-100%,Tank_5-0-33%_to_33-66%,Tank_5-33-66%_to_0-33%,Tank_5-33-66%_to_66-100%,Tank_5-66-100%_to_33-66%,Tank_5-66-100%_to_OVERFLOW,Tank_5-OVERFLOW_to_66-100%,Tank_6-0-33%_to_33-66%,Tank_6-33-66%_to_0-33%,Tank_6-33-66%_to_66-100%,Tank_6-66-100%_to_33-66%,Tank_6-66-100%_to_OVERFLOW,Tank_6-OVERFLOW_to_66-100%,Tank_7-0-33%_to_33-66%,Tank_7-33-66%_to_0-33%,Tank_7-33-66%_to_66-100%,Tank_7-66-100%_to_33-66%,Tank_7-66-100%_to_OVERFLOW,Tank_7-OVERFLOW_to_66-100%,Tank_8-0-33%_to_33-66%,Tank_8-33-66%_to_0-33%,Tank_8-33-66%_to_66-100%,Tank_8-66-100%_to_33-66%,Tank_8-66-100%_to_OVERFLOW,Tank_8-OVERFLOW_to_66-100%,Fitness,Label
2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,7,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.625,A
0,2,0,0,2,2,2,0,0,2,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,2,2,2,0,0,2,2,0,2,0,0,0.4814814814814815,A
0,0,0,2,2,2,0,2,0,0,5,5,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,1,1,0,0,0,0,2,2,0.5294117647058824,A
0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,2,1,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0.6296296296296297,A
0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,2,1,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0.6296296296296297,A
0,0,0,2,2,2,0,2,0,0,5,5,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,1,1,0,0,0,0,2,2,0.5294117647058824,A
0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,2,1,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0.6296296296296297,A
0,0,2,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,2,2,2,2,0,0,2,0,0,2,0,0,0,2,0,0,1,1,0.48275862068965514,A
0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,2,1,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0.6296296296296297,A
2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,7,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.625,A
